//ItemDataEx.txt contains additional not required item parameters
//life_time static item life time in seconds (item will disappear no matter if will be used or not)
//shadow_time is a shadow item life time (it's item usage time) in seconds
//vip rune
begin	item_id=9448	/* Vip Rune 1 */ life_time=86400	title_color=7456369	nickname_color=7456369	skill_list={s_vip_rune1}	max_stackable_level=3	end
//Elixirs
begin	item_id=8622	/* Elixir_of_Life_(No_Grade) */	life_time=0	shadow_time=0	reuse_group=1	end
begin	item_id=8623	/* Elixir_of_Life_(D-Grade) */	life_time=0	shadow_time=0	reuse_group=1	end
begin	item_id=8624	/* Elixir_of_Life_(C-Grade) */	life_time=0	shadow_time=0	reuse_group=1	end
begin	item_id=8625	/* Elixir_of_Life_(B-Grade) */	life_time=0	shadow_time=0	reuse_group=1	end
begin	item_id=8626	/* Elixir_of_Life_(A-Grade) */	life_time=0	shadow_time=0	reuse_group=1	end
begin	item_id=8627	/* Elixir_of_Life_(S-Grade) */	life_time=0	shadow_time=0	reuse_group=1	end
begin	item_id=8628	/* Elixir_of_Mental_Strength_(No_Grade) */	life_time=0	shadow_time=0	reuse_group=2	end
begin	item_id=8629	/* Elixir_of_Mental_Strength_(D-Grade) */	life_time=0	shadow_time=0	reuse_group=2	end
begin	item_id=8630	/* Elixir_of_Mental_Strength_(C-Grade) */	life_time=0	shadow_time=0	reuse_group=2	end
begin	item_id=8631	/* Elixir_of_Mental_Strength_(B-Grade) */	life_time=0	shadow_time=0	reuse_group=2	end
begin	item_id=8632	/* Elixir_of_Mental_Strength_(A-Grade) */	life_time=0	shadow_time=0	reuse_group=2	end
begin	item_id=8633	/* Elixir_of_Mental_Strength_(S-Grade) */	life_time=0	shadow_time=0	reuse_group=2	end
begin	item_id=8634	/* Elixir_of_CP_(No_Grade) */	life_time=0	shadow_time=0	reuse_group=7	end
begin	item_id=8635	/* Elixir_of_CP_(D-Grade) */	life_time=0	shadow_time=0	reuse_group=7	end
begin	item_id=8636	/* Elixir_of_CP_(C-Grade) */	life_time=0	shadow_time=0	reuse_group=7	end
begin	item_id=8637	/* Elixir_of_CP_(B-Grade) */	life_time=0	shadow_time=0	reuse_group=7	end
begin	item_id=8638	/* Elixir_of_CP_(A-Grade) */	life_time=0	shadow_time=0	reuse_group=7	end
begin	item_id=8639	/* Elixir_of_CP_(S-Grade) */	life_time=0	shadow_time=0	reuse_group=7	end
//shadow items
begin	item_id=8821	/* Shadow Item: Two Handed Sword */	life_time=0	shadow_time=5400	end
begin	item_id=8822	/* Shadow Item: Crimson Sword */	life_time=0	shadow_time=5400	end
begin	item_id=8823	/* Shadow Item: Spiked Club */	life_time=0	shadow_time=5400	end
begin	item_id=8824	/* Shadow Item: Staff of Magic */	life_time=0	shadow_time=5400	end
begin	item_id=8825	/* Shadow Item: Kukuri */	life_time=0	shadow_time=5400	end
begin	item_id=8826	/* Shadow Item: Dagger of Mana */	life_time=0	shadow_time=5400	end
begin	item_id=8827	/* Shadow Item: Triple-Edged Jamadhr */	life_time=0	shadow_time=5400	end
begin	item_id=8828	/* Shadow Item: Gastraphetes */	life_time=0	shadow_time=5400	end
begin	item_id=8829	/* Shadow Item: War Hammer */	life_time=0	shadow_time=5400	end
begin	item_id=8830	/* Shadow Item: Katana */	life_time=0	shadow_time=18000	end
begin	item_id=8831	/* Shadow Item: Bec de Corbin */	life_time=0	shadow_time=18000	end
begin	item_id=8832	/* Shadow Item: Cursed Staff */	life_time=0	shadow_time=18000	end
begin	item_id=8833	/* Shadow Item: Stiletto */	life_time=0	shadow_time=18000	end
begin	item_id=8834	/* Shadow Item: Soulfire Dirk */	life_time=0	shadow_time=18000	end
begin	item_id=8835	/* Shadow Item: Elemental Bow */	life_time=0	shadow_time=18000	end
begin	item_id=8836	/* Shadow Item: Dwarven War Hammer */	life_time=0	shadow_time=18000	end
begin	item_id=8837	/* Shadow Item: Sword of Revolution */	life_time=0	shadow_time=18000	end
begin	item_id=8838	/* Shadow Item: Knuckle Duster */	life_time=0	shadow_time=18000	end
begin	item_id=8839	/* Shadow Item: Sword of Delusion */	life_time=0	shadow_time=18000	end
begin	item_id=8840	/* Shadow Item: Poleaxe */	life_time=0	shadow_time=18000	end
begin	item_id=8841	/* Shadow Item: Stick of Eternity */	life_time=0	shadow_time=18000	end
begin	item_id=8842	/* Shadow Item: Inferno Staff */	life_time=0	shadow_time=18000	end
begin	item_id=8843	/* Shadow Item: Pa'agrian Hammer */	life_time=0	shadow_time=18000	end
begin	item_id=8844	/* Shadow Item: Dark Screamer */	life_time=0	shadow_time=18000	end
begin	item_id=8845	/* Shadow Item: Akat Long Bow */	life_time=0	shadow_time=18000	end
begin	item_id=8846	/* Shadow Item: Pa'agrian Sword */	life_time=0	shadow_time=18000	end
begin	item_id=8847	/* Shadow Item: Fisted Blade */	life_time=0	shadow_time=18000	end
begin	item_id=8848	/* Shadow Item: Stormbringer */	life_time=0	shadow_time=18000	end
begin	item_id=8849	/* Shadow Item: Great Sword */	life_time=0	shadow_time=18000	end
begin	item_id=8850	/* Shadow Item: Heavy War Axe */	life_time=0	shadow_time=18000	end
begin	item_id=8851	/* Shadow Item: Sprite's Staff */	life_time=0	shadow_time=18000	end
begin	item_id=8852	/* Shadow Item: Keshanberk */	life_time=0	shadow_time=18000	end
begin	item_id=8853	/* Shadow Item: Sword of Valhalla */	life_time=0	shadow_time=18000	end
begin	item_id=8854	/* Shadow Item: Kris */	life_time=0	shadow_time=18000	end
begin	item_id=8855	/* Shadow Item: Arthro Nail */	life_time=0	shadow_time=18000	end
begin	item_id=8856	/* Shadow Item: Dark Elven Long Bow */	life_time=0	shadow_time=18000	end
begin	item_id=8857	/* Shadow Item: Swords of Delusion */	life_time=0	shadow_time=18000	end
begin	item_id=8858	/* Shadow Item: Great Axe */	life_time=0	shadow_time=18000	end
begin	item_id=8859	/* Shadow Item: Tallum Blade */	life_time=0	shadow_time=18000	end
